hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated
Kepler-884,5715.0,0.05,1.0,0.94,476.733,2016,Transit,Kepler,1554.8932834799998,1.9885e+30,653958000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1831,6063.0,0.07,1.117,1.012,1053.49,2021,Transit,Kepler,3436.0208444,2.2211545e+30,704048400.0,1,solar,F,2025-10-29 17:25:48
Kepler-1797,6244.0,-0.2,1.069,1.009,1338.49,2021,Transit,Kepler,4365.5654444,2.1257065e+30,701961299.9999999,1,sub-solar,F,2025-10-29 17:25:48
Kepler-1019,4433.0,0.01,0.7,0.67,194.182,2016,Transit,Kepler,633.3362439199999,1.39195e+30,466119000.0,1,solar,K,2025-10-29 17:25:48
Kepler-904,6160.0,0.05,1.16,1.25,978.125,2016,Transit,Kepler,3190.213375,2.30666e+30,869625000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1223,4870.0,0.04,0.8,0.75,459.957,2016,Transit,Kepler,1500.17735292,1.5908e+30,521775000.0,1,solar,K,2025-10-29 17:25:48
Kepler-97,5779.0,-0.2,0.94,0.98,400.907,2014,Transit,Kepler,1307.5822349199998,1.86919e+30,681786000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1909,4935.0,-0.42,0.663,0.685,763.662,2021,Transit,Kepler,2490.7294327199997,1.3183755e+30,476554500.00000006,1,sub-solar,K,2025-10-29 17:25:48
Kepler-905,5461.0,0.09,0.95,0.86,529.268,2016,Transit,Kepler,1726.23933808,1.889075e+30,598302000.0,1,solar,G,2025-10-29 17:25:48
KOI-55,27730.0,-0.106,0.496,0.203,1231.02,2011,Orbital Brightness Modulation,Kepler,4015.0455911999998,9.86296e+29,141227100.0,2,sub-solar,A,2025-10-29 17:25:48
Kepler-558,5242.0,-0.06,0.85,0.81,661.876,2016,Transit,Kepler,2158.74828656,1.6902249999999998e+30,563517000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1775,5818.0,0.24,1.149,1.647,657.023,2021,Transit,Kepler,2142.91993588,2.2847865e+30,1145817900.0,1,solar,G,2025-10-29 17:25:48
Kepler-730,5620.0,0.21,1.047,1.411,1935.04,2016,Transit,Kepler,6311.249062399999,2.0819594999999999e+30,981632700.0,2,solar,G,2025-10-29 17:25:48
Kepler-907,6106.0,-0.15,1.08,1.38,352.0,2016,Transit,Kepler,1148.0691199999999,2.14758e+30,960065999.9999999,1,sub-solar,F,2025-10-29 17:25:48
