pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-1926 b,Kepler-1926,Kepler,Transit,2021,5256.0,-0.16,,0.768,0.832,1,1,667.405,Kepler
Kepler-444 c,Kepler-444,Kepler,Transit,2015,5046.0,-0.55,,0.758,0.752,5,3,36.4396,Kepler
Kepler-321 c,Kepler-321,Kepler,Transit,2014,5740.0,0.121,,1.024,1.194,2,1,384.542,Kepler
Kepler-1828 b,Kepler-1828,Kepler,Transit,2021,5806.0,-0.04,,0.996,0.899,1,1,871.81,Kepler
Kepler-76 b,Kepler-76,Kepler,Orbital Brightness Modulation,2013,6409.0,-0.1,,1.2,1.32,1,1,822.96,Kepler
Kepler-1532 b,Kepler-1532,Kepler,Transit,2016,5559.0,-0.1,,0.91,0.88,1,1,798.246,Kepler
Kepler-535 b,Kepler-535,Kepler,Transit,2016,6123.0,0.13,,1.18,1.27,1,1,685.599,Kepler
Kepler-1037 b,Kepler-1037,Kepler,Transit,2016,5105.0,-0.03,,0.82,0.78,1,1,446.914,Kepler
Kepler-1130 d,Kepler-1130,Kepler,Transit,2021,5450.0,0.1,,0.944,0.842,3,2,249.343,Kepler
Kepler-107 b,Kepler-107,Kepler,Transit,2014,5854.0,0.321,20.3,1.238,1.447,4,1,525.997,Kepler
Kepler-378 c,Kepler-378,Kepler,Transit,2014,4661.0,0.1369,,0.78,0.671,2,1,152.094,Kepler
Kepler-347 d,Kepler-347,Kepler,Transit,2023,5592.0,0.16,,1.0,1.451,3,1,1298.88,Kepler
Kepler-1645 b,Kepler-1645,Kepler,Transit,2016,5812.0,0.04,,1.02,1.02,1,1,1202.47,Kepler
Kepler-1185 b,Kepler-1185,Kepler,Transit,2016,5622.0,-0.04,,0.96,0.87,1,1,459.273,Kepler
Kepler-599 b,Kepler-599,Kepler,Transit,2016,5127.0,-0.02,,0.83,0.79,1,1,558.517,Kepler
Kepler-1033 b,Kepler-1033,Kepler,Transit,2016,5547.0,0.06,,0.94,0.92,1,1,1455.5,Kepler
Kepler-965 b,Kepler-965,Kepler,Transit,2016,5886.0,0.03,,1.05,1.15,1,1,582.828,Kepler
Kepler-404 b,Kepler-404,Kepler,Transit,2014,5654.0,-0.03,,0.86,0.884,2,1,812.524,Kepler
Kepler-730 c,Kepler-730,Kepler,Transit,2018,5620.0,0.21,,1.047,1.411,2,1,1935.04,Kepler
