hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-1130,5403.0,-0.06,0.9,0.81,249.343,2016,Transit,Kepler,813.2471550799999,1.78965e+30,563517000.0,3,sub-solar,G,2025-10-29 17:25:48,-0.05121284312341155,-0.5004663627091058,-0.1786984886704043,-0.4838449915690083,few
Kepler-1367,4106.0,-0.06,0.62,0.6,401.484,2016,Transit,Kepler,1309.46415504,1.2328700000000001e+30,417420000.0,1,sub-solar,K,2025-10-29 17:25:48,-1.2343964735263868,-0.5004663627091058,-1.3383127439148657,-0.9775127718301279,single
Kepler-1716,4894.0,-0.24,0.753,0.684,195.439,2021,Transit,Kepler,637.43602484,1.4973405e+30,475858800.00000006,1,sub-solar,K,2025-10-29 17:25:48,-0.5155462801898066,-1.6228763758780291,-0.7874959726737465,-0.78004565972568,single
Kepler-1038,5159.0,0.16,0.868,0.821,584.136,2021,Transit,Kepler,1905.19461216,1.726018e+30,571169700.0,2,solar,K,2025-10-29 17:25:48,-0.27380097405504294,0.8713680978306894,-0.31122583212691424,-0.45798620307914034,few
Kepler-1878,5918.0,-0.26,0.956,0.865,1494.3,2021,Transit,Kepler,4873.749108,1.901006e+30,601780500.0,1,sub-solar,G,2025-10-29 17:25:48,0.41859407257244985,-1.7475885995634652,0.05322436237848768,-0.3545510491196676,single
Kepler-1020,5227.0,0.0,0.87,0.8,415.358,2016,Transit,Kepler,1354.71503848,1.7299949999999998e+30,556560000.0,1,sub-solar,G,2025-10-29 17:25:48,-0.21176821625442438,-0.1263296916527981,-0.30294287316088236,-0.5073529811052521,single
Kepler-682,5559.0,-0.05,0.92,0.89,1979.25,2016,Transit,Kepler,6455.44263,1.82942e+30,619173000.0,1,sub-solar,G,2025-10-29 17:25:48,0.09109760124271345,-0.43811025086638794,-0.09586889901008556,-0.2957810752790581,single
Kepler-1447,5722.0,-0.03,0.97,0.95,890.296,2016,Transit,Kepler,2903.75382176,1.928845e+30,660915000.0,1,sub-solar,G,2025-10-29 17:25:48,0.2397937706765492,-0.313398027180952,0.11120507514071079,-0.15473313806159555,single
Kepler-915,6173.0,0.08,1.21,1.38,849.036,2016,Transit,Kepler,2769.18185616,2.406085e+30,960066000.0,1,solar,F,2025-10-29 17:25:48,0.6512169143247696,0.37251920308894565,1.1051601510645346,0.856110411996887,single
Kepler-597,5683.0,-0.01,0.97,0.95,663.418,2016,Transit,Kepler,2163.77761208,1.928845e+30,660915000.0,1,sub-solar,G,2025-10-29 17:25:48,0.20421615958501793,-0.18868580349551606,0.11120507514071079,-0.15473313806159555,single
Kepler-1857,6074.0,-0.54,0.873,1.005,853.275,2021,Transit,Kepler,2783.007609,1.7359604999999997e+30,699178499.9999999,1,low,F,2025-10-29 17:25:48,0.5609045169385748,-3.4935597311595683,-0.2905184347118346,-0.025439195612254894,single
Kepler-342,6175.0,-0.0006,1.213,1.472,781.611,2014,Transit,Kepler,2549.27117316,2.4120504999999998e+30,1024070400.0,4,sub-solar,F,2025-10-29 17:25:48,0.6530414072012584,-0.13007105836336116,1.117584589513583,1.0723839157303299,many
Kepler-1251,5545.0,-0.04,0.92,0.89,902.204,2016,Transit,Kepler,2942.59247824,1.82942e+30,619173000.0,1,sub-solar,G,2025-10-29 17:25:48,0.07832615110729198,-0.37575413902366994,-0.09586889901008556,-0.2957810752790581,single
Kepler-910,6230.0,0.12,1.26,1.5,400.289,2016,Transit,Kepler,1305.56659084,2.5055100000000003e+30,1043550000.0,1,solar,F,2025-10-29 17:25:48,0.7032149613046998,0.6219436504598175,1.3122341252153313,1.1382062864318125,single
KOI-94,6182.0,0.0228,1.277,1.52,477.052,2013,Transit,Kepler,1555.93372112,2.5393145e+30,1057464000.0,4,solar,F,2025-10-29 17:25:48,0.6594271322689691,0.015842243348598885,1.382639276426602,1.1852222655043,many
Kepler-374,5977.0,0.1111,1.033,0.911,1265.61,2014,Transit,Kepler,4127.862951599999,2.0541205e+30,633782700.0,3,solar,G,2025-10-29 17:25:48,0.4724166124288689,0.5664467109197986,0.37211828257071433,-0.2464142972529461,few
Kepler-1870,5508.0,0.07,0.955,0.84,407.216,2021,Transit,Kepler,1328.15941696,1.8990175e+30,584388000.0,1,solar,G,2025-10-29 17:25:48,0.04457303289224951,0.3101630912462277,0.04908288289547175,-0.4133210229602771,single
Kepler-258,4942.0,0.3031,0.82,0.915,575.988,2014,Transit,Kepler,1878.61942128,1.6305699999999998e+30,636565500.0,2,solar,K,2025-10-29 17:25:48,-0.47175845115407583,1.7636840582999833,-0.5100168473116792,-0.23701110143844858,few
Kepler-849,5950.0,0.145,1.259,1.822,822.134,2016,Transit,Kepler,2681.43936904,2.5035215e+30,1267565400.0,1,solar,G,2025-10-29 17:25:48,0.44778595859627035,0.7778339300666124,1.308092645732315,1.8951635494988626,single
Kepler-92,5883.0,0.1381,1.21,1.7,477.992,2013,Transit,Kepler,1558.99958752,2.406085e+30,1182690000.0,3,solar,G,2025-10-29 17:25:48,0.3866654472338962,0.734808212895137,1.1051601510645346,1.6083660771566881,few
Kepler-1339,5586.0,0.01,0.94,0.93,371.049,2016,Transit,Kepler,1210.19857644,1.8691900000000002e+30,647001000.0,1,solar,G,2025-10-29 17:25:48,0.11572825507531201,-0.06397357981008012,-0.013039309349767299,-0.2017491171340829,single
Kepler-405,5818.0,-0.06,0.873,0.893,1065.08,2014,Transit,Kepler,3473.8223247999995,1.7359604999999997e+30,621260100.0,2,sub-solar,G,2025-10-29 17:25:48,0.3273694287480107,-0.5004663627091058,-0.2905184347118346,-0.28872867841818495,few
Kepler-244,5554.0,0.07,0.933,0.803,1036.49,2014,Transit,Kepler,3380.5743244,1.8552704999999998e+30,558647100.0,3,solar,G,2025-10-29 17:25:48,0.0865363690514915,0.3101630912462277,-0.04202966573087839,-0.500300584244379,few
Kepler-1065,5635.0,-0.01,0.94,0.93,1122.48,2016,Transit,Kepler,3661.0358688,1.8691900000000002e+30,647001000.0,2,sub-solar,G,2025-10-29 17:25:48,0.16042833054928718,-0.18868580349551606,-0.013039309349767299,-0.2017491171340829,few
Kepler-46,5155.0,0.41,0.902,0.938,777.06,2012,Transit,Kepler,2534.4278136,1.793627e+30,652566600.0,3,solar,K,2025-10-29 17:25:48,-0.2774499598080205,2.4302708938986384,-0.17041552970437243,-0.1829427255050881,few
Kepler-145,6022.0,-0.0014,1.32,1.85,566.85,2013,Transit,Kepler,1848.815286,2.6248200000000003e+30,1287045000.0,2,sub-solar,F,2025-10-29 17:25:48,0.5134677021498665,-0.1350595473107786,1.5607228941962876,1.9609859202003452,few
Kepler-144,6075.0,-0.1848,1.154,1.235,384.917,2014,Transit,Kepler,1255.4298905199998,2.294729e+30,859189500.0000001,2,sub-solar,F,2025-10-29 17:25:48,0.5618167633768192,-1.278670638506226,0.8732373000156421,0.5152445637213525,few
Kepler-251,5526.0,-0.06,0.891,0.89,924.625,2014,Transit,Kepler,3015.719915,1.7717535e+30,619173000.0,4,sub-solar,G,2025-10-29 17:25:48,0.06099346878064855,-0.5004663627091058,-0.21597180401754773,-0.2957810752790581,many
Kepler-1658,6216.0,-0.18,1.447,2.891,788.238,2019,Transit,Kepler,2570.88553128,2.8773595e+30,2011268700.0,1,sub-solar,F,2025-10-29 17:25:48,0.6904435111692784,-1.2487397048217215,2.086690788539311,4.408167630923323,single
Kepler-1292,5556.0,0.08,0.95,0.93,1493.43,2016,Transit,Kepler,4870.9115508,1.889075e+30,647001000.0,1,solar,G,2025-10-29 17:25:48,0.08836086192798027,0.37251920308894565,0.028375485480392065,-0.2017491171340829,single
Kepler-196,5132.0,-0.06,0.805,0.77,451.312,2021,Transit,Kepler,1471.98116672,1.6007424999999998e+30,535689000.0,3,sub-solar,K,2025-10-29 17:25:48,-0.29843162788764155,-0.5004663627091058,-0.5721390395569178,-0.5778769497139835,few
